age,income,employment_years,num_credit_accounts,total_debt,debt_to_income_ratio,payment_history_score,num_late_payments,credit_utilization,num_hard_inquiries,loan_amount,loan_term_months,savings_balance,education_level,employment_status,creditworthy,education_encoded,employment_encoded,income_per_debt,savings_to_income_ratio,payment_reliability,credit_age_score
36,27739.21,2,12,3130.17,0.1128,803,16,0.7863,9,8748.93,48,24519.38,Master,Self-Employed,1,2,1,8.8591,0.8839,0.2,24
35,41550.21,7,4,36381.54,0.8756,430,16,0.5428,2,24431.59,36,8471.44,High School,Employed,0,1,0,1.142,0.2039,0.2,28
67,15000.0,23,8,0.0,0.0,517,15,0.9568,1,14911.29,60,4536.67,Bachelor,Employed,0,0,0,15000.0,0.3024,0.25,184
64,45209.21,14,11,26847.54,0.5939,470,17,0.1539,2,26336.88,24,16472.58,Bachelor,Employed,0,0,0,1.6839,0.3644,0.15,154
23,67451.13,30,1,16241.59,0.2408,774,7,0.4785,7,1751.67,60,5185.58,Master,Self-Employed,1,2,1,4.1527,0.0769,0.65,30
57,45473.99,8,3,10564.15,0.2323,428,2,0.5376,0,24652.64,60,17977.48,Master,Employed,1,2,0,4.3041,0.3953,0.9,24
27,82766.25,1,6,22951.13,0.2773,356,16,0.4919,3,22209.89,12,2776.14,Bachelor,Employed,0,0,0,3.606,0.0335,0.2,6
41,88198.95,7,9,20933.9,0.2373,480,17,0.8024,6,1000.0,12,16580.18,High School,Employed,0,1,0,4.213,0.188,0.15,63
29,80512.89,6,2,7813.02,0.097,545,5,0.6704,4,28226.18,24,9206.29,Bachelor,Unemployed,1,0,2,10.3036,0.1143,0.75,12
59,59612.82,15,11,7133.92,0.1197,443,7,0.1267,1,15934.58,36,15746.31,PhD,Employed,1,3,0,8.3551,0.2641,0.65,165
38,15000.0,34,1,0.0,0.0,350,12,0.3465,0,18920.45,12,19410.59,Bachelor,Employed,1,0,0,15000.0,1.294,0.4,34
24,40926.05,29,10,24583.47,0.6007,667,7,0.3391,5,6351.04,48,1204.36,Master,Employed,0,2,0,1.6647,0.0294,0.65,290
45,52159.23,9,3,1192.93,0.0229,758,18,0.5656,4,27752.47,24,15654.63,Bachelor,Employed,1,0,0,43.687,0.3001,0.1,27
34,37122.65,17,4,20059.62,0.5404,517,5,0.2915,2,3141.48,60,0.0,Bachelor,Self-Employed,0,0,1,1.8505,0.0,0.75,68
29,52209.89,4,11,28887.17,0.5533,556,14,0.1173,8,23320.92,24,1716.89,Bachelor,Unemployed,1,0,2,1.8073,0.0329,0.3,44
46,87201.35,28,5,23120.83,0.2651,455,9,0.6537,2,23206.07,12,3179.54,Bachelor,Employed,1,0,0,3.7714,0.0365,0.55,140
22,22084.47,33,3,9153.03,0.4145,741,16,0.851,1,5258.33,36,11021.82,Master,Unemployed,0,2,2,2.4125,0.4991,0.2,99
40,91233.84,22,13,33632.19,0.3686,324,0,0.9316,4,34833.74,60,8198.1,Bachelor,Self-Employed,0,0,1,2.7126,0.0899,1.0,286
48,72694.53,4,10,13880.43,0.1909,835,6,0.9726,8,17315.28,36,6997.18,Bachelor,Employed,0,0,0,5.2368,0.0963,0.7,40
67,60364.34,29,11,0.0,0.0,359,12,0.7811,7,21538.93,24,8877.41,High School,Unemployed,1,1,2,60364.34,0.1471,0.4,319
27,40727.67,5,2,15744.09,0.3866,766,2,0.1397,5,1000.0,36,11547.74,High School,Employed,1,1,0,2.5867,0.2835,0.9,10
64,37520.99,3,2,28801.96,0.7676,733,18,0.8531,2,36177.3,36,12009.49,PhD,Employed,0,3,0,1.3027,0.3201,0.1,6
28,22475.65,28,7,9883.79,0.4398,365,14,0.4,5,2754.43,24,14565.0,High School,Employed,0,1,0,2.2738,0.648,0.3,196
67,89335.31,22,9,33172.74,0.3713,405,4,0.7299,4,25248.86,60,18920.21,Master,Employed,0,2,0,2.693,0.2118,0.8,198
55,85752.23,5,10,8445.11,0.0985,395,10,0.5313,0,5052.28,36,7871.83,Bachelor,Employed,0,0,0,10.1529,0.0918,0.5,50
34,26874.31,31,2,10486.8,0.3902,467,17,0.8286,4,8810.11,36,4873.47,Master,Self-Employed,0,2,1,2.5624,0.1813,0.15,62
37,43947.44,17,7,4308.81,0.098,341,2,0.4255,6,22887.54,24,11681.22,PhD,Self-Employed,0,3,1,10.1971,0.2658,0.9,119
56,63662.9,14,7,30255.64,0.4752,403,5,0.0618,8,25275.53,48,1134.47,Bachelor,Self-Employed,1,0,1,2.1041,0.0178,0.75,98
60,49009.82,31,11,19201.36,0.3918,503,2,0.5568,0,2287.16,36,3927.78,Master,Employed,1,2,0,2.5523,0.0801,0.9,341
24,16626.5,8,7,5303.57,0.319,819,4,0.1713,2,25904.72,12,13996.29,High School,Unemployed,1,1,2,3.1344,0.8418,0.8,56
22,41844.54,9,3,14056.84,0.3359,581,8,0.9655,7,25449.8,60,7255.23,Bachelor,Employed,0,0,0,2.9766,0.1734,0.6,27
26,94020.69,19,12,0.0,0.0,342,18,0.527,5,5620.47,36,750.85,Master,Employed,0,2,0,94020.69,0.008,0.1,228
62,43200.43,5,7,31669.59,0.7331,409,12,0.5536,4,30986.48,24,0.0,High School,Employed,0,1,0,1.3641,0.0,0.4,35
24,51730.65,2,1,17438.8,0.3371,509,5,0.9073,9,1000.0,12,8292.3,Bachelor,Employed,0,0,0,2.9662,0.1603,0.75,2
49,32096.45,10,10,0.0,0.0,348,10,0.6246,1,8752.27,24,14851.38,Master,Employed,0,2,0,32096.45,0.4627,0.5,100
38,66755.26,16,1,0.0,0.0,414,13,0.3027,2,19790.03,36,14771.27,Master,Employed,1,2,0,66755.26,0.2213,0.35,16
46,57303.04,31,5,13676.09,0.2387,454,5,0.2961,1,6464.34,12,8665.28,High School,Self-Employed,1,1,1,4.1897,0.1512,0.75,155
64,40159.61,3,2,287.44,0.0072,802,5,0.5016,0,17638.19,60,20053.46,Bachelor,Unemployed,1,0,2,139.2304,0.4993,0.75,6
54,28906.89,3,9,31900.24,1.1036,370,16,0.8666,6,17410.76,60,7371.08,High School,Self-Employed,0,1,1,0.9061,0.255,0.2,27
30,83090.87,16,7,26278.59,0.3163,818,10,0.7947,2,13129.26,60,7168.59,Bachelor,Employed,1,0,0,3.1618,0.0863,0.5,112
56,22889.13,18,4,25393.04,1.1094,635,14,0.9627,6,23324.01,48,0.0,Bachelor,Self-Employed,0,0,1,0.9014,0.0,0.3,72
34,65076.31,4,4,0.0,0.0,366,8,0.0719,6,12716.39,24,5315.82,Bachelor,Self-Employed,1,0,1,65076.31,0.0817,0.6,16
51,15000.0,31,2,12118.12,0.8079,792,16,0.2683,7,17315.41,36,13112.09,Bachelor,Employed,1,0,0,1.2377,0.8741,0.2,62
68,69144.23,21,5,9535.75,0.1379,512,6,0.0802,0,26464.72,12,17383.77,High School,Self-Employed,1,1,1,7.2503,0.2514,0.7,105
35,74405.98,5,4,5689.18,0.0765,480,6,0.7511,4,22906.86,24,3018.59,High School,Employed,0,1,0,13.0762,0.0406,0.7,20
28,76895.67,34,12,13772.37,0.1791,547,0,0.1408,9,22860.17,36,10773.51,High School,Employed,1,1,0,5.5829,0.1401,1.0,408
34,51775.83,21,13,3106.43,0.06,513,7,0.0999,8,3508.2,48,14281.27,Bachelor,Employed,1,0,0,16.6619,0.2758,0.65,273
43,86680.07,0,1,23228.31,0.268,658,4,0.5617,6,20247.93,36,8067.25,Master,Employed,0,2,0,3.7315,0.0931,0.8,0
60,101155.83,19,12,31498.27,0.3114,548,18,0.4115,0,6215.01,24,0.0,High School,Self-Employed,1,1,1,3.2114,0.0,0.1,228
41,48567.54,21,8,30205.76,0.6219,815,7,0.7151,7,2185.85,36,9483.74,High School,Employed,1,1,0,1.6078,0.1953,0.65,168
36,45979.9,10,3,17931.33,0.39,387,16,0.487,2,14282.94,12,12568.58,Bachelor,Employed,0,0,0,2.5641,0.2733,0.2,30
65,57983.55,12,14,49988.6,0.8621,475,18,0.4253,3,5957.05,48,2315.46,Bachelor,Unemployed,0,0,2,1.1599,0.0399,0.1,168
38,45446.4,2,6,37099.63,0.8163,725,11,0.4255,3,22906.18,12,6475.07,High School,Unemployed,0,1,2,1.2249,0.1425,0.45,12
67,42522.6,8,4,18476.63,0.4345,380,14,0.8719,9,23145.35,48,1067.02,High School,Employed,0,1,0,2.3013,0.0251,0.3,32
44,44265.23,11,9,12765.92,0.2884,437,3,0.3952,7,1000.0,48,0.0,High School,Employed,0,1,0,3.4672,0.0,0.85,99
46,89315.12,22,7,40070.41,0.4486,732,11,0.3334,0,6716.97,36,14162.03,Bachelor,Employed,1,0,0,2.2289,0.1586,0.45,154
45,70437.64,13,9,35113.71,0.4985,769,12,0.3385,7,1000.0,12,7977.51,High School,Employed,1,1,0,2.0059,0.1133,0.4,117
65,45381.08,32,10,0.0,0.0,649,13,0.1966,8,10373.71,48,17586.05,Bachelor,Employed,1,0,0,45381.08,0.3875,0.35,320
61,15000.0,17,3,36287.32,2.4192,425,4,0.8607,8,19551.76,48,13143.93,Bachelor,Employed,0,0,0,0.4134,0.8763,0.8,51
49,24110.71,8,1,17684.4,0.7335,608,15,0.1466,4,12577.12,36,5874.74,Bachelor,Self-Employed,0,0,1,1.3633,0.2437,0.25,8
35,65068.58,22,5,7086.33,0.1089,529,6,0.9086,3,9102.41,24,7500.92,High School,Self-Employed,0,1,1,9.181,0.1153,0.7,110
65,15000.0,9,3,0.0,0.0,759,14,0.2835,3,28001.77,24,11397.06,Bachelor,Employed,1,0,0,15000.0,0.7598,0.3,27
21,60859.87,18,6,15966.26,0.2623,644,12,0.8994,8,1000.0,60,13801.3,Bachelor,Employed,1,0,0,3.8115,0.2268,0.4,108
45,33688.73,4,8,19816.59,0.5882,609,15,0.7908,7,27368.72,60,9936.02,PhD,Employed,0,3,0,1.6999,0.2949,0.25,32
27,56836.12,22,11,43809.91,0.7708,319,11,0.582,9,9557.12,48,14633.56,High School,Employed,0,1,0,1.2973,0.2575,0.45,242
29,56277.13,29,13,34358.51,0.6105,840,6,0.6695,9,14218.91,24,6219.99,Bachelor,Employed,1,0,0,1.6379,0.1105,0.7,377
44,57411.8,24,4,11256.7,0.1961,776,15,0.3258,6,9726.37,48,2017.14,Bachelor,Employed,1,0,0,5.0998,0.0351,0.25,96
21,47111.56,27,5,25840.14,0.5485,568,12,0.5742,2,30428.88,12,7611.14,High School,Employed,1,1,0,1.8231,0.1616,0.4,135
64,46454.29,33,5,32393.74,0.6973,302,2,0.2924,3,2690.22,24,9231.11,Master,Employed,0,2,0,1.434,0.1987,0.9,165
28,40584.19,24,4,21289.36,0.5246,315,14,0.4023,8,15117.36,24,790.79,Bachelor,Employed,0,0,0,1.9062,0.0195,0.3,96
44,64677.85,9,4,11192.69,0.1731,657,2,0.7647,7,20274.39,24,0.0,Bachelor,Employed,1,0,0,5.7781,0.0,0.9,36
31,71103.85,13,4,12017.41,0.169,432,6,0.2439,0,1000.0,60,10684.32,High School,Employed,0,1,0,5.9162,0.1503,0.7,52
37,30620.55,29,4,25782.1,0.842,611,17,0.8388,2,5801.02,36,5561.86,High School,Employed,0,1,0,1.1876,0.1816,0.15,116
28,53967.43,24,4,26194.71,0.4854,781,13,0.3759,9,13518.21,36,7004.95,Bachelor,Employed,1,0,0,2.0602,0.1298,0.35,96
55,58931.64,13,5,15605.68,0.2648,843,17,0.5322,1,6133.35,60,5841.84,High School,Employed,1,1,0,3.7761,0.0991,0.15,65
55,58675.42,34,2,0.0,0.0,604,18,0.942,1,6844.08,60,17123.61,Bachelor,Employed,1,0,0,58675.42,0.2918,0.1,68
53,58335.39,33,2,642.16,0.011,568,13,0.6813,7,11501.37,60,15570.57,Bachelor,Employed,1,0,0,90.7012,0.2669,0.35,66
25,46959.3,9,9,29295.33,0.6238,713,19,0.6456,5,21495.81,36,575.88,Bachelor,Employed,0,0,0,1.6029,0.0123,0.05,81
62,60580.61,34,2,0.0,0.0,324,5,0.7116,5,11572.82,48,4803.24,Bachelor,Self-Employed,0,0,1,60580.61,0.0793,0.75,68
59,67360.57,10,6,37762.72,0.5606,615,7,0.9181,3,25784.26,60,13100.03,High School,Employed,0,1,0,1.7837,0.1945,0.65,60
61,57820.73,10,2,35542.36,0.6147,575,6,0.2485,0,5022.42,48,11611.62,Bachelor,Employed,1,0,0,1.6268,0.2008,0.7,20
48,65118.8,20,5,20616.45,0.3166,688,19,0.6132,6,2480.78,48,7751.25,Bachelor,Unemployed,1,0,2,3.1584,0.119,0.05,100
27,74807.07,20,4,28968.97,0.3872,743,17,0.4004,7,34263.45,12,1174.4,High School,Unemployed,0,1,2,2.5822,0.0157,0.15,80
29,17981.19,21,12,27931.62,1.5534,726,17,0.0119,1,8420.42,36,3904.76,High School,Employed,0,1,0,0.6437,0.2172,0.15,252
28,73869.28,6,7,18246.9,0.247,356,14,0.1253,1,1890.88,48,4899.39,High School,Self-Employed,0,1,1,4.0481,0.0663,0.3,42
32,61848.56,16,7,0.0,0.0,667,19,0.325,0,1000.0,36,9661.97,High School,Employed,1,1,0,61848.56,0.1562,0.05,112
54,32767.49,1,13,34509.09,1.0532,641,18,0.565,3,25751.03,36,18222.36,PhD,Unemployed,0,3,2,0.9495,0.5561,0.1,13
53,71049.42,11,6,41108.45,0.5786,603,1,0.8815,5,11586.95,12,3878.72,Bachelor,Employed,0,0,0,1.7283,0.0546,0.95,66
68,47033.58,17,10,1871.14,0.0398,673,7,0.7911,4,12462.9,36,1843.79,High School,Self-Employed,1,1,1,25.1229,0.0392,0.65,170
43,49760.67,10,5,0.0,0.0,411,10,0.5533,3,13407.98,48,7348.48,High School,Self-Employed,0,1,1,49760.67,0.1477,0.5,50
44,44846.4,15,1,17948.05,0.4002,305,17,0.0739,3,25129.43,24,14190.43,High School,Employed,1,1,0,2.4985,0.3164,0.15,15
57,61047.98,17,12,10606.63,0.1737,578,12,0.2859,9,13204.7,48,0.0,Bachelor,Self-Employed,1,0,1,5.7551,0.0,0.4,204
55,39292.94,34,3,22174.24,0.5643,681,8,0.3667,6,38440.54,48,16721.8,High School,Employed,1,1,0,1.7719,0.4256,0.6,102
64,73029.49,25,9,38119.91,0.522,312,8,0.6217,6,16337.61,36,6967.81,Bachelor,Employed,0,0,0,1.9157,0.0954,0.6,225
60,52222.75,15,14,0.0,0.0,602,16,0.0649,1,25617.85,48,3594.08,Bachelor,Employed,1,0,0,52222.75,0.0688,0.2,210
42,47715.95,5,1,43719.08,0.9162,459,6,0.5302,6,23052.4,24,0.0,Master,Unemployed,0,2,2,1.0914,0.0,0.7,5
47,70057.51,11,5,13899.97,0.1984,453,8,0.9015,1,14635.53,36,12239.12,High School,Employed,0,1,0,5.0398,0.1747,0.6,55
55,48608.86,12,2,27676.68,0.5694,480,0,0.7054,3,9130.29,60,6972.97,Bachelor,Employed,0,0,0,1.7562,0.1435,1.0,24
21,73963.54,3,4,29280.89,0.3959,825,1,0.7971,0,18319.64,48,9024.23,Bachelor,Employed,1,0,0,2.5259,0.122,0.95,12
55,74591.86,1,14,31030.12,0.416,479,3,0.6817,4,20100.99,48,2595.13,Bachelor,Employed,0,0,0,2.4038,0.0348,0.85,14
57,28303.92,25,14,20928.62,0.7394,676,13,0.2066,0,9274.14,12,6085.42,Master,Employed,0,2,0,1.3523,0.215,0.35,350
67,77185.2,26,11,24433.41,0.3166,467,3,0.1105,3,16663.39,60,5080.51,Bachelor,Self-Employed,1,0,1,3.1589,0.0658,0.85,286
34,25759.28,26,1,24335.33,0.9447,513,1,0.8295,8,27362.05,60,7396.44,Bachelor,Unemployed,0,0,2,1.0585,0.2871,0.95,26
23,78431.61,14,3,10545.76,0.1345,449,7,0.6955,7,35699.48,24,3982.69,Bachelor,Employed,0,0,0,7.4366,0.0508,0.65,42
21,95567.14,7,10,0.0,0.0,315,17,0.5751,5,23543.69,60,0.0,PhD,Employed,0,3,0,95567.14,0.0,0.15,70
25,72496.69,6,7,1712.21,0.0236,390,18,0.1893,7,33627.6,12,24371.0,Bachelor,Employed,1,0,0,42.3163,0.3362,0.1,42
46,15000.0,11,10,18436.43,1.2291,419,13,0.6033,4,8706.26,24,0.0,Master,Employed,0,2,0,0.8136,0.0,0.35,110
34,76271.31,12,3,8197.9,0.1075,552,19,0.0313,6,22018.82,60,9088.75,High School,Employed,1,1,0,9.3026,0.1192,0.05,36
59,99922.58,16,4,8232.56,0.0824,359,9,0.1188,7,28385.2,24,0.0,Bachelor,Employed,1,0,0,12.136,0.0,0.55,64
47,48939.37,16,2,46988.77,0.9601,565,16,0.3119,6,6036.67,60,0.0,Master,Employed,0,2,0,1.0415,0.0,0.2,32
29,54305.93,20,3,32883.42,0.6055,708,7,0.4437,3,10144.1,60,8586.96,High School,Employed,1,1,0,1.6514,0.1581,0.65,60
35,31230.27,7,9,16218.86,0.5193,330,13,0.1206,4,32379.05,60,9046.21,PhD,Self-Employed,0,3,1,1.9254,0.2897,0.35,63
35,61241.59,4,3,30080.52,0.4912,320,7,0.1199,9,5249.01,48,15568.99,High School,Unemployed,0,1,2,2.0359,0.2542,0.65,12
46,80383.54,25,11,13695.97,0.1704,588,4,0.7259,5,1588.7,60,10397.28,Master,Employed,1,2,0,5.8687,0.1293,0.8,275
62,68954.74,15,5,21660.85,0.3141,842,15,0.5697,5,30279.82,48,7101.14,Bachelor,Employed,1,0,0,3.1832,0.103,0.25,75
33,117839.34,27,2,26624.43,0.2259,797,7,0.5337,8,26967.63,36,2302.4,High School,Employed,1,1,0,4.4258,0.0195,0.65,54
52,55660.54,28,4,13735.91,0.2468,773,9,0.4524,9,19321.2,12,16994.07,Master,Unemployed,1,2,2,4.0519,0.3053,0.55,112
59,22386.53,11,12,9721.24,0.4342,704,7,0.9765,1,14542.89,24,13573.11,High School,Employed,0,1,0,2.3026,0.6063,0.65,132
69,58419.42,29,13,38358.98,0.6566,847,8,0.0498,5,10614.75,24,522.02,High School,Self-Employed,1,1,1,1.5229,0.0089,0.6,377
52,15000.0,22,7,29211.69,1.9474,431,17,0.1806,2,17819.49,36,8227.78,High School,Employed,0,1,0,0.5135,0.5485,0.15,154
24,44337.92,15,14,0.0,0.0,623,2,0.6475,1,30798.07,60,8864.31,Bachelor,Employed,1,0,0,44337.92,0.1999,0.9,210
50,87487.64,13,7,9977.96,0.114,431,16,0.1364,5,17385.66,12,5926.08,PhD,Employed,0,3,0,8.7672,0.0677,0.2,91
57,61502.67,9,12,8280.91,0.1346,820,19,0.5894,3,36669.59,36,12631.1,High School,Employed,1,1,0,7.4261,0.2054,0.05,108
43,58588.34,6,3,10682.93,0.1823,329,14,0.5678,4,6020.58,36,12990.4,Bachelor,Employed,0,0,0,5.4838,0.2217,0.3,18
59,91415.61,28,5,32936.03,0.3603,600,16,0.971,4,14803.19,24,6857.09,High School,Employed,0,1,0,2.7755,0.075,0.2,140
65,49588.0,2,1,20288.09,0.4091,303,7,0.8834,2,11269.41,48,6314.78,Bachelor,Self-Employed,0,0,1,2.4441,0.1273,0.65,2
35,80236.41,14,10,0.0,0.0,624,1,0.9456,3,4148.58,48,16993.75,High School,Employed,1,1,0,80236.41,0.2118,0.95,140
63,57586.14,18,10,14251.78,0.2475,808,16,0.1136,2,13469.16,60,13597.03,High School,Employed,1,1,0,4.0403,0.2361,0.2,180
49,62600.95,12,10,28126.06,0.4493,536,17,0.8681,6,19173.29,60,8434.16,High School,Employed,0,1,0,2.2256,0.1347,0.15,120
56,30653.9,20,11,16705.32,0.545,834,4,0.1291,0,20242.3,36,0.0,Bachelor,Employed,1,0,0,1.8349,0.0,0.8,220
33,45359.06,26,1,10329.86,0.2277,315,8,0.6329,5,36704.52,60,10064.0,Master,Employed,0,2,0,4.3906,0.2219,0.6,26
52,27049.64,28,5,24968.29,0.9231,833,8,0.7201,3,19644.67,48,12188.5,Bachelor,Employed,1,0,0,1.0833,0.4506,0.6,140
27,53095.1,19,13,44272.89,0.8338,745,1,0.1609,0,26501.37,12,0.0,High School,Employed,0,1,0,1.1992,0.0,0.95,247
42,62808.05,24,10,26921.37,0.4286,802,1,0.6327,0,15660.94,24,9511.22,Bachelor,Employed,1,0,0,2.3329,0.1514,0.95,240
48,32799.24,5,9,39514.12,1.2047,529,18,0.0525,4,31780.56,48,5499.85,Master,Employed,0,2,0,0.83,0.1677,0.1,45
22,95983.58,1,1,11335.79,0.1181,406,2,0.2933,4,38984.49,60,6674.87,High School,Employed,1,1,0,8.4666,0.0695,0.9,1
62,60562.12,21,1,19874.57,0.3282,688,16,0.9212,9,20310.85,24,2555.71,High School,Unemployed,0,1,2,3.0471,0.0422,0.2,21
65,56155.91,31,4,19571.72,0.3485,562,13,0.1717,6,5073.41,24,7110.86,High School,Employed,1,1,0,2.8691,0.1266,0.35,124
26,70393.16,15,4,21780.19,0.3094,364,13,0.0653,3,9511.95,36,16351.95,Bachelor,Self-Employed,0,0,1,3.2318,0.2323,0.35,60
48,38421.44,17,2,26607.79,0.6925,564,13,0.4437,8,17819.34,60,5321.61,Bachelor,Employed,0,0,0,1.4439,0.1385,0.35,34
48,58269.55,4,9,6215.46,0.1067,637,5,0.8506,3,19564.98,36,13793.44,Bachelor,Employed,1,0,0,9.3734,0.2367,0.75,36
64,40662.68,29,14,29709.99,0.7306,600,2,0.0767,6,21984.25,24,3162.01,High School,Employed,1,1,0,1.3686,0.0778,0.9,406
64,86173.6,18,9,0.0,0.0,677,0,0.3555,4,19601.98,36,12552.54,High School,Employed,1,1,0,86173.6,0.1457,1.0,162
40,33827.21,22,13,0.0,0.0,474,15,0.8998,4,15069.85,60,8009.94,PhD,Employed,1,3,0,33827.21,0.2368,0.25,286
50,56263.31,33,13,52034.39,0.9248,451,3,0.1182,5,8638.02,48,10112.15,High School,Employed,1,1,0,1.0813,0.1797,0.85,429
31,61586.32,12,2,12348.19,0.2005,775,0,0.3107,7,19011.38,12,8042.92,Master,Employed,1,2,0,4.9871,0.1306,1.0,24
48,62896.51,28,14,30942.79,0.492,565,16,0.7784,4,33549.87,48,11849.75,Bachelor,Employed,0,0,0,2.0326,0.1884,0.2,392
45,43375.3,21,9,45474.36,1.0484,628,17,0.5432,2,25199.29,24,0.0,High School,Self-Employed,0,1,1,0.9538,0.0,0.15,189
59,37089.81,8,6,0.0,0.0,462,7,0.8323,5,20347.04,48,0.0,Bachelor,Self-Employed,0,0,1,37089.81,0.0,0.65,48
53,43664.1,18,8,36893.69,0.8449,737,1,0.1116,1,25295.67,36,10502.48,PhD,Employed,1,3,0,1.1835,0.2405,0.95,144
21,65566.51,5,10,29734.15,0.4535,642,17,0.9206,7,11289.36,60,0.0,Bachelor,Employed,0,0,0,2.205,0.0,0.15,50
